K,max suppression %,median auroc,median acc,median f1,solution set SA,suppression in %,solution set ARX,ARX suppression,ARX auroc,ARX accuracy,ARX f1
2,10,0.749,0.825,0.758,"sex', 'L4_age', 'L2_race', 'L1_education', 'L3_occupation', 'L1_workclass', 'L1_marital_status', 'L3_native_country'",0.08,"sex', 'L4_age', 'L1_race', 'L2_education', 'L1_occupation', 'L3_workclass', 'L1_marital_status', 'L1_native_country'",0.017,0.73,0.831,0.751
3,10,0.741,0.833,0.758,"sex', 'L6_age', 'L2_race', 'L3_education', 'L1_occupation', 'L1_workclass', 'L2_marital_status', 'L1_native_country'",0.1,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.011,0.723,0.826,0.741
4,10,0.743,0.826,0.757,"sex', 'L3_age', 'L2_race', 'L3_education', 'L1_occupation', 'L1_workclass', 'L2_marital_status', 'L2_native_country'",0.06,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.018,0.718,0.822,0.738
5,10,0.736,0.825,0.753,"sex', 'L3_age', 'L1_race', 'L4_education', 'L2_occupation', 'L3_workclass', 'L2_marital_status', 'L1_native_country'",0.1,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.023,0.72,0.828,0.741
6,10,0.743,0.83,0.76,"sex', 'L3_age', 'L1_race', 'L2_education', 'L2_occupation', 'L2_workclass', 'L2_marital_status', 'L1_native_country'",0.1,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.029,0.715,0.818,0.736
7,10,0.735,0.821,0.75,"sex', 'L3_age', 'L2_race', 'L3_education', 'L1_occupation', 'L2_workclass', 'L3_marital_status', 'L1_native_country'",0.1,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.035,0.729,0.827,0.748
8,10,0.739,0.82,0.751,"sex', 'L1_age', 'L1_race', 'L1_education', 'L2_occupation', 'L2_workclass', 'L3_marital_status', 'L2_native_country'",0.09,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.038,0.727,0.825,0.747
9,10,0.741,0.827,0.757,"sex', 'L1_age', 'L1_race', 'L3_education', 'L3_occupation', 'L1_workclass', 'L1_marital_status', 'L2_native_country'",0.1,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.042,0.716,0.82,0.736
10,10,0.728,0.827,0.747,"sex', 'L2_age', 'L1_race', 'L3_education', 'L1_occupation', 'L2_workclass', 'L1_marital_status', 'L2_native_country'",0.07,"sex', 'L1_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.016,0.716,0.813,0.731
15,10,0.734,0.822,0.749,"sex', 'L2_age', 'L2_race', 'L1_education', 'L2_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.08,"sex', 'L1_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.026,0.715,0.814,0.731
20,10,0.73,0.819,0.745,"sex', 'L1_age', 'L2_race', 'L3_education', 'L1_occupation', 'L3_workclass', 'L2_marital_status', 'L1_native_country'",0.08,"sex', 'L1_age', 'L1_race', 'L1_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.081,0.73,0.819,0.745
25,10,0.715,0.811,0.732,"sex', 'L2_age', 'L2_race', 'L1_education', 'L1_occupation', 'L1_workclass', 'L2_marital_status', 'L1_native_country'",0.07,"sex', 'L1_age', 'L1_race', 'L1_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.031,0.735,0.829,0.745
2,20,0.752,0.826,0.763,"sex', 'L6_age', 'L2_race', 'L5_education', 'L2_occupation', 'L1_workclass', 'L2_marital_status', 'L2_native_country'",0.19,"sex', 'L4_age', 'L1_race', 'L2_education', 'L1_occupation', 'L3_workclass', 'L1_marital_status', 'L1_native_country'",0.017,0.73,0.831,0.751
3,20,0.749,0.823,0.759,"sex', 'L6_age', 'L2_race', 'L1_education', 'L3_occupation', 'L3_workclass', 'L1_marital_status', 'L1_native_country'",0.18,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.011,0.723,0.826,0.741
4,20,0.743,0.819,0.756,"sex', 'L5_age', 'L2_race', 'L1_education', 'L2_occupation', 'L3_workclass', 'L3_marital_status', 'L1_native_country'",0.16,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.018,0.718,0.822,0.738
5,20,0.748,0.828,0.764,"sex', 'L5_age', 'L2_race', 'L2_education', 'L2_occupation', 'L1_workclass', 'L1_marital_status', 'L2_native_country'",0.15,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.023,0.72,0.828,0.741
6,20,0.744,0.832,0.759,"sex', 'L5_age', 'L1_race', 'L2_education', 'L2_occupation', 'L3_workclass', 'L1_marital_status', 'L1_native_country'",0.17,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.029,0.715,0.818,0.736
7,20,0.738,0.82,0.755,"sex', 'L3_age', 'L1_race', 'L4_education', 'L3_occupation', 'L1_workclass', 'L3_marital_status', 'L1_native_country'",0.19,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.035,0.729,0.827,0.748
8,20,0.742,0.823,0.757,"sex', 'L4_age', 'L2_race', 'L3_education', 'L2_occupation', 'L1_workclass', 'L2_marital_status', 'L1_native_country'",0.17,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.038,0.727,0.825,0.747
9,20,0.732,0.826,0.751,"sex', 'L3_age', 'L2_race', 'L5_education', 'L1_occupation', 'L1_workclass', 'L2_marital_status', 'L2_native_country'",0.16,"sex', 'L3_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.042,0.716,0.82,0.736
10,20,0.739,0.822,0.751,"sex', 'L4_age', 'L1_race', 'L1_education', 'L2_occupation', 'L3_workclass', 'L1_marital_status', 'L2_native_country'",0.16,"sex', 'L1_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.016,0.716,0.813,0.731
15,20,0.759,0.822,0.766,"sex', 'L3_age', 'L2_race', 'L4_education', 'L3_occupation', 'L1_workclass', 'L2_marital_status', 'L1_native_country'",0.26,"sex', 'L1_age', 'L1_race', 'L2_education', 'L1_occupation', 'L1_workclass', 'L1_marital_status', 'L1_native_country'",0.026,0.715,0.814,0.731
